Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url 
"Loft,High Ceiling,Stove,Bomb Shelter,Fridge,Dryer,Oven,Parking,Sky Terrace,Ground Floor,Retail,Aircon,Closet,TV,Greenery View,Bed,Lounge,Swimming Pool,Wading Pool,Jacuzzi,Playground,Dining Room Furniture,Security,Fibre Ready,Lap Pool,Gym,BBQ","1,055 sqft (built up)","**********NEW LISTING**********

Units available 1st September 2018

Beautiful Loft Corner unit WITH HIGH CEILING!!! 

Full furnish with beautiful modern white furniture!!! 

Lifestyle Living!!! Good facilities with main ground pool and roof top infinity swimming pool, quiet corner unit, Greenery view...

Next to One North park... stroll to 2 nos. MRTS and cold storage supermarkets and Starbucks!!!

Call 98222 322 Jennifer Tan for a viewing
Website : www.jentan.com

One North Residences
Property Type:	Apartment
Developer:	UOL / Kheng Leong
Tenure:	99-year Leasehold
Completion Year:	2009
# of Units:	405
One North Residences is a 99-years leasehold development located at 7 One-North Gateway (S) 138642 in District 05, near Buona Vista MRT Station. Completed in 2009, it comprises 405 units. One North Residences is close to National University Hospital and National University of Singapore. 

Condo Facilities at One North Residences 

One North Residences has full facilities, which includes 24 hours security, swimming pool, BBQ pits, gym, Jacuzzi, sky gardens, and playground. 

Condo Amenities near One North Residence 

Several bus services are available near One North Residences. It is also close to elite local and international schools such as Anglo-Chinese Junior College and United World College of South East Asia. 

Residents can take a short bus ride to Holland Village, where numerous restaurants and eating establishments, as well as supermarkets and other shops, are located. Recreational facilities such as the Transview Golf & Country Club are located just a short drive away. 

For vehicle owners, driving to the Central Business District(CBD) takes about 10 minutes via Ayer Rajah Expressway, whereas the vibrant Orchard Road shopping district is about 15 minutes drive along Holland Road.

This Condominium is located at One-North Gateway it is a ground level unit.

Amenities within 500m are one-north MRT (s), ROCHESTER MALL Shopping Mall (s), 7 Childcare Centre (s), 2 School (s).

The unit comes with Air Conditioning, Intercom, Water Heater, Cooker Hob / Hood, Park / Greenery View, Corner Unit. ",D05,All races welcome,,,Fully Furnished,,24 months,One North Residences,1 Bath,1 Bed,Allowed,S$3.51 psf,"S$3,700/mo",https://www.99.co/singapore/rent/property/one-north-residences-condo-3tLPrHmyi8t33Nrdips3HB
"Aircon,Utility Room,Swimming Pool,Study Room,Oven,Washer,Stove,Parking,Fridge,Security","1,227 sqft (built up)","For Rent – 4 bedroom apartment
4 bedrooms 
1 study room
3 bathrooms
1 storeroom


This is a spacious apartment with 4 proper bedrooms offering an efficient layout and lots of storage space.  There is also a study room (with door). Open and airy, the large windows provide great light into the apartment.  

Living convenience is enhanced with a fully equipped kitchen.   Air-conditioning throughout the apartment complete this wonderful home.  


St Francis Court is strategically located off Serangoon Road and within a 5 minute walk to the Boon Keng MRT (North-East Purple Line).  
For drivers, there is easy access into the PIE and CTE backbone expressways.  It is also within close driving distance to the Stamford American International School.


Fully furnished.  Available for a 2 year lease.
Subletting allowed.



Contact Daniel for more info and a private presentation.


Daniel Ho
9386 8788
",D12,,,,Partially Furnished,,Flexible,St Francis Court,3 Baths,4 Beds,,S$2.69 psf,"S$3,300/mo",https://www.99.co/singapore/rent/property/st-francis-court-condo-jBojHHpNMV7ibiNVvZv2GS
"Clubhouse,Stove,Parking,Fridge,Dryer,Tennis Court,Dining Room Furniture,Balcony,Bathtub,Renovated,Aircon,Maid Room,Sofa,Greenery View,Bed,Swimming Pool,Utility Room,High Floor,Washer,Fibre Ready,BBQ","1,872 sqft (built up)","For Rent – High floor 3 bedroom apartment, show house, freshly renovated
3 bedrooms 
3 bathrooms (one with bathtub)
1 balcony
Utility room / helper's room
Yard/washing area

This is a freshly renovated apartment, offering a spacious interior and a classy layout, just like a classy showhouse.

Layout of the apartment is beautiful.  Entry is via a cheerful foyer, and upon entering the apartment, your eyes are drawn to the bright balcony beyond the living area.  More on the balcony later.
The living area is comfortably sized, squarish in shape, and perfect for hosting small relaxed afternoon gatherings.  On the left is the dining area, good sized, and situated conveniently by the kitchen entrance.

For good privacy, the bedrooms are tucked away at one end; access is via a passageway; long and wide, this passageway wall is just ideal for displaying favourite photos, or proud paintings, or whatever your heart wants to show.  The gallery lamps are ready for you.  Make it your gallery.

Set on a high floor, the balcony must be a go-to place; it presents a north-easterly exposure towards the Bukit Timah Nature Reserve; the view of the forest canopy surrounding the Pierce Reservoir will greet you every day.

The kitchen is comfortably sized, with an efficient U-shaped worktop configuration. 


Bukit View is a single tower condo block, with 80 apartments into 4 units on each level, very private.  Every apartment is a corner unit.  The tower is connected to a podium mall (Beauty World Centre) that offers dining options as well as a supermarket (Giant Supermarket).  The Beauty World MRT station (Downtown line - Blue line) is immediately beside the complex.  Very convenient for food as well as commuting.

The condo is located near the south-west edge of the Bukit Timah Nature Reserve, which is where the many of the entry points to the walking trails are located.  Very convenient access.


This apartment has just been renovated and is freshly available.  There is new flooring in the living and dining areas, the air-con system was just changed, all the lights, drapes and bathroom fittings are new.  The apartment is in very good condition.



Click on this link for a virtual tour:
http://bit.ly/2ssbukitview


This unit is perfect for couple, or young family wanting a fresh and spacious apartment very near the city and with convenient access to the MRT station and amenities, and yet near Singapore's green lung; it is available for a 2 year lease. 


Contact Daniel now for a more info and to arrange a private presentation.


Daniel Ho
9386 8788

",D21,,,,Fully Furnished,,24 months,Beauty World Centre,3 Baths,3 Beds,,S$2.03 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/beauty-world-centre-condo-6u7TCuT6BcNzGEMKo2hRC9
"Loft,High Ceiling,Stove,Parking,Fridge,Sauna,Jacuzzi,High Floor,Security,City View,Fibre Ready,Renovated,Aircon,TV,Sofa,Bed,Swimming Pool,Dining Room Furniture,Washer,Bathtub,Lap Pool,Gym",775 sqft (built up),"About the unit
-1 Bedroom Loft!
-High floor with a beautiful city view
-Fully furnished
-Perfect for singles and couples
-Grab your luggage and move in
-View one, view all. One viewing to see all other available lofts!

Call/SMS Adrian at 87551805 to view now and experience this exclusive and spacious loft!

Accessibility
Getting around - 5 minutes walk to Telok Ayer MRT (DT18), 6 minutes walk to Tanjong Pagar MRT (EW15)
Grocery shopping - Supermarkets (Cold Storage and FairPrice) within walking distance
Fill your tummy - Wide variety of dining options and bars in walking vicinity
Driving out - 10 minutes to Orchard Road, 23 minutes to Changi Airport

Facilities
-Swimming Pool
-Gym
-Sauna
-Jacuzzi
-Lounge
-Outdoor Dining Area
-Private Massage Parlour
-The White Room (Washing & Drying Facilities)

Located at the heart of Singapore’s Central Business District, The Clift places the modern professional right in the middle of the city’s buzz. Enjoy a wide variety of entertainment hotspots and dining options within walking distance; from conserved shophouses and historic buildings to artisan cafés selling local delights, Telok Ayer has fast become one of the freshest destinations for F&B in the city.

The lifestyle facilities in this 42-storey development are designed with modern comforts in mind, with a club lounge and pool lounge beds on the 10th level and a superb view from the Sky Garden on the 31st level.

-

Altez, V On Shenton, Marina One Residences, The Clift, The Sail @ Marina Bay, Craig Place, 76 Shenton, Spottiswoode Residences, Spottiswoode 18, Spottiswoode Suites, Icon, Eon Shenton, One Shenton, Wallich Residence, The Arris, Dorsett Residences, SkySuites @ Anson, Empire Lofts",D01,All races welcome,North East,,Fully Furnished,Yes,Flexible,The Clift,1 Bath,1 Bed,,S$6.19 psf,"S$4,800/mo",https://www.99.co/singapore/rent/property/the-clift-condo-6yxvr2MtM8ZwFCbyGRRocJ
"Clubhouse,Stove,Fridge,Dryer,Tennis Court,Oven,Parking,Fibre Ready,Security,Balcony,Bathtub,Renovated,Aircon,Maid Room,Greenery View,Swimming Pool,Squash Court,Playground,Fitness Corner,High Floor,Washer,Pool View,Gym","2,715 sqft (built up)","LEONIE CONDOTEL is situated in the heart of River Valley and a short drive to the shopping belt of Orchard Road, Raffles Place - Marina Bay Financial District, historic Chinatown and ecletic Tiong Bahru.  It is easily accessible to a wide variety of retail outlets, popular F&B, hotels and entertainment facilities.

It offers very spacious accommodation suitable for different family needs and a welcoming stay for your overseas family and friends.  Large friendly expatriate community to interact and network.

Sprawled over a large estate, many recreational facilities will appeal to your relaxation and / or fitness activities.

There are ample covered car park lots and 24-hour security.  Complimentary shuttle bus services are available at 7.15am, 8.15am and 10.30am from Monday to Friday (excluding public holidays) to Dhoby Ghaut, City Hall and Raffles Place MRT stations.

On-site concierge and management staff are available to ensure a pleasant stay

Wait no more..... Experience great lifestyle and discover the joy of living at LEONIE CONDOTEL.  Various units of different layouts are available to select from. 

Call Lay Guan @ 97359118 to view at your convenience.
Visit www.layguan.com to view other properties.
Thank you.

Disclaimer: Subject to availability and price change without prior notice.
",D09,All races welcome,,,,Yes,24 months,Leonie Condotel,4 Baths,4 Beds,Allowed,S$3.43 psf,"S$9,300/mo",https://www.99.co/singapore/rent/property/leonie-condotel-condo-zwJSSbuwDQkyNdf4jEUpBk
"Wading Pool,Jacuzzi,Aircon,Parking,Gym,Lap Pool,Balcony",840 sqft (built up),"Call us 91260127 for viewing!

Good size 2 bedrooms apartment for rent
Walking distance to MRT - Little India or Dhoby Ghaut!
Vast amenities just round the corner
Ideal for expat, working professional too

Ready to move in now!

Call us 91260127 for viewing!",D09,,,,Fully Furnished,,Flexible,Mackenzie 88,2 Baths,2 Beds,,S$5.12 psf,"S$4,300/mo",https://www.99.co/singapore/rent/property/mackenzie-88-condo-LdpPkjkGzqakvkeH8uYmo9
"Clubhouse,Gym,Sauna,Sea View,Tennis Court,Parking,Balcony,Closet,Aircon,Swimming Pool,Utility Room,Jacuzzi,Playground,High Floor,Security,Games Room,BBQ","1,432 sqft (built up)","About the unit
-4 bedroom with one utility room
-High floor with a breathtaking sea view
-Partially furnished
-Perfect for families
-Available immediately, grab your luggage and move in

Call/SMS Adrian at 87551805 to view now and experience this exclusive and spacious loft!

Accessibility
-Short 6 minutes drive to Bedok Mall or Bedok Point for your shopping, dining and grocery needs
-10 minutes drive to Changi Business Park
-Prestigious schools in vicinity: Victoria School, Anglican High School, Victoria JC, Temasek JC
-Spend a fun day out at East Coast Park with your family with activities such as cycling, jogging, rollerblading, and wakeboarding

The Bayshore offers you tranquility away from the bustling city without compromising on fun and entertainment.

Facilities
-Swimming pool
-Tennis court
-Karaoke room
-Jacuzzi pool
-Playground
-Gym
-2 storey Clubhouse
-Reading room
-BBQ pit
-Games room",D16,All races welcome,South,,Partially Furnished,Yes,Flexible,The Bayshore,3 Baths,4 Beds,,S$2.65 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/the-bayshore-condo-eTWhxdnTV299tfTXDL5aSA
"Clubhouse,Aircon,Gym,Wading Pool,Jacuzzi,Steam Room,Playground,Fitness Corner,Parking,Security,Lap Pool,BBQ,Balcony",893 sqft (built up),"Call us 91260127 for viewing ya~

Beautiful 2 bedrooms for rent 
Near Farrer PK MRT, approximately 5-6 min leisure walk
3 bus stop to Novena MRT, Velocity Shopping Mall, Square 2, Royal Square and United Square too!

Bright and breezy!",D08,,,,Partially Furnished,,Flexible,Oxford Suites,2 Baths,2 Beds,,S$3.47 psf,"S$3,100/mo",https://www.99.co/singapore/rent/property/oxford-suites-condo-y4ZhEarDxm5UMK6yuWJDFi
"Security,Aircon,Swimming Pool,High Ceiling,Gym,Parking,Fridge,Bed,TV,Utility Room,Jacuzzi,Playground,Oven,Dining Room Furniture,High Floor,Washer,Fibre Ready,Wading Pool,BBQ,Balcony","1,305 sqft (built up)","this is an exquisite high floor apartment with an unblocked scenic view . It's fully furnished , with nice deco. This condo is also in an interesting location with good transport connectivity , near the mrt , and within a short distance of 1 North business hub.",D05,All races welcome,,,Fully Furnished,Yes,Flexible,The Rochester,2 Baths,2 Beds,,S$3.83 psf,"S$5,000/mo",https://www.99.co/singapore/rent/property/the-rochester-condo-BRvGFx4a4TZoJQdCb9dRdB
"Clubhouse,Stove,Parking,Fridge,Sauna,Squash Court,Tennis Court,Dining Room Furniture,Security,City View,Aircon,Sofa,Bed,Swimming Pool,Wading Pool,Playground,Fitness Corner,Top Floor,High Floor,Washer,Fibre Ready,Gym,BBQ",990 sqft (built up),"Estella Gardens is a freehold development located at Flora Road in District 17. Completed in 1999, this resort-style condominium is eight storeys tall and comprises 350 units. 

Condo Facilities at Estella Gardens 

Estella Gardens has full facilities, which includes covered car park, 24 hours security, wading pool, swimming pool, BBQ area, gym, tennis and squash courts, fitness corner, sauna, clubhouse, and a playground. 

Condo Amenities near Estella Gardens 

There is a bus service available near the development. Several schools and eating establishments are a short walk or drive away. It is also close to White Sands shopping centre, Tampines Mart and Loyang Point where there is a host of amenities such as shops, supermarkets, and restaurants. 

Estella Gardens is near recreational facilities such as Tampines Tree Garden and Tampines Leisure Park. 

For vehicle owners, it takes 20-25 minutes to get to the business hub and the vibrant Orchard Road shopping district, via Pan Island Expressway.",D17,All races welcome,,,Fully Furnished,Yes,Flexible,Estella Gardens,2 Baths,2 Beds,,S$2.32 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/estella-gardens-condo-yht6u63eTWYp2g6NCCMJZN
"Function Room,Water Feature,High Ceiling,Gym,Parking,Ground Floor,Fridge,Jacuzzi,Tennis Court,High Floor,Security,City View,Aircon,Sofa,Wading Pool,Bed,Viewing Deck,Swimming Pool,Utility Room,Spa Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Fibre Ready,Lap Pool,BBQ,Hydrotherapy Pool",936 sqft (built up),"Rare High floor apt. with panoramic view , in a beautiful condo with nearby  access to mrt , amenities , market and eateries. Don’t hesitate to call to arrange for viewing , negotiable ",D12,All races welcome,,,Fully Furnished,Yes,Flexible,Eight Riversuites,2 Baths,2 Beds,,S$3.85 psf,"S$3,600/mo",https://www.99.co/singapore/rent/property/eight-riversuites-condo-kUmvMT3obm48yqQUJETiA
"Aircon,Greenery View,Fridge,Utility Room,Dining Room Furniture,Washer,Fibre Ready,Balcony","2,800 sqft (built up)","This is a beautiful inter-terrace landed home at the tip of the beautiful Bt. Timah natural reserve , and not far from the Beauty World , for amenities & mrt.
It’s available from end of Jan. but do place your interest down and seal the contract asap as such a place near the good schools , amenities , transport & greenery is really hard to come by .",D21,All races welcome,,,,Yes,24 months,Angsana Park,5 Baths,4 Beds,,S$2.07 psf,"S$5,800/mo",https://www.99.co/singapore/rent/property/hindhede-drive-landed-74iGnWrtdBUX73WxnWM4pc
"Clubhouse,Water Feature,Gym,Walk In Closet,Sea View,Tennis Court,Oven,Parking,Balcony,Aircon,Maid Room,Wading Pool,Utility Room,Playground,Fitness Corner,Top Floor,High Floor,Security,Fibre Ready,Lap Pool,BBQ","1,600 sqft (built up)","A beautiful apartment set on a middle floor with an unblocked view too ! It's really priced to be rented out to the discerning tenant who values such high value apartments .

The locality of this development is also much vaunted near good transportation networks and good schools , and amenities. This apartment has just been made available in the market so don't hesitate to arrange for a viewing to secure this prized opportunity of making this ur very own !",D15,All races welcome,,,Partially Furnished,Yes,24 months,The Seafront On Meyer,3 Baths,3 Beds,,S$3.94 psf,"S$6,300/mo",https://www.99.co/singapore/rent/property/the-seafront-on-meyer-condo-CcoT4AZ9kNeea3ixMWzMmZ
"Security,Aircon,Fridge,Swimming Pool,Utility Room,Playground,Parking,High Floor,Washer,Fibre Ready,Wading Pool,BBQ","1,421 sqft (built up)","Nice condo , now with mrt nearby , on top a mall with amenities and eateries within walking distance . Don’t hesitate to arrange a viewing to grab this high floor apartment while it’s still available .",D21,All races welcome,,,,Yes,Flexible,Sherwood Towers,2 Baths,3 Beds,,S$2.25 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/sherwood-towers-condo-LbBnp6rrH365VB3KbtuPu7
"Clubhouse,Stove,Fridge,Low Floor,Dryer,Tennis Court,Oven,Parking,Security,Balcony,Dishwasher,Bathtub,Closet,Aircon,Swimming Pool,Maid Room,Sofa,Wading Pool,TV,Utility Room,Squash Court,Playground,Fitness Corner,Dining Room Furniture,Washer,Fibre Ready,Gym,BBQ","1,002 sqft (built up)","this is a nicely furnished apt. in a development that's next to the Bukit Timah hill forest reserve . It's nicely spacious and going for a very good price to the first tenant who seizes this opportunity.

This area is now well connected to the rest of the island with the Mrt close by . It has full facilities and beautiful Swimming pool .",D21,All races welcome,North East,,Fully Furnished,Yes,Flexible,Hume Park II,2 Baths,2 Beds,,S$2.30 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/hume-park-ii-condo-6dkeEt7ZdStUPRHmkVKxMX
